N_t,time_mean,time_std,memory_estimate,allocations,gc_percent
2,0.149424848,NaN,4.395842552185059e-6,111,0.0
4,0.274046236,NaN,4.395842552185059e-6,111,0.0
6,0.420435967,NaN,4.395842552185059e-6,111,0.0
8,0.561822944,NaN,4.395842552185059e-6,111,0.0
10,0.689617156,NaN,4.395842552185059e-6,111,0.0
12,0.82314951,NaN,4.395842552185059e-6,111,0.0
14,0.960566172,NaN,4.395842552185059e-6,111,0.0
16,1.103326226,NaN,4.395842552185059e-6,111,0.0
18,1.252521723,NaN,4.395842552185059e-6,111,0.0
20,1.386195453,NaN,4.395842552185059e-6,111,0.0
